,restaurantID,name,reviewID,Review Sentiment,rating_y
137,-CclMIdTyOnA2vWrubC2Iw,Macy's,I-CGFgK5QZVgZIyUE-NySg,positive,3
138,-CclMIdTyOnA2vWrubC2Iw,Macy's,I25ZegrNJKlxq1q3xcykGQ,positive,5
139,-CclMIdTyOnA2vWrubC2Iw,Macy's,iAmuOYui03-fa4XY2p_D-Q,negative,1
140,-CclMIdTyOnA2vWrubC2Iw,Macy's,ilDNw3teDN9LlS2aP-xZNA,positive,3
141,-CclMIdTyOnA2vWrubC2Iw,Macy's,iqmYMp8fYLARt2Ejm1u2PQ,positive,2
142,-CclMIdTyOnA2vWrubC2Iw,Macy's,IsmdVOsp3miDbB9dNvM4-w,negative,2
143,-CclMIdTyOnA2vWrubC2Iw,Macy's,iUr_xpbVmsQbl00ea9CUNw,positive,5
144,-CclMIdTyOnA2vWrubC2Iw,Macy's,JP--KsCPXhOC6rCHOtBrMQ,negative,5
145,-CclMIdTyOnA2vWrubC2Iw,Macy's,jsKLmjXNm7rsbWYGQUlWcA,negative,2
146,-CclMIdTyOnA2vWrubC2Iw,Macy's,Jtq_s4nJopbiNzCYVHzcYg,positive,2
147,-CclMIdTyOnA2vWrubC2Iw,Macy's,kYEugFYnb6chzG_Ct7alKQ,positive,3
148,-CclMIdTyOnA2vWrubC2Iw,Macy's,M5Adb5Rm2bpAbxAtBtNRbA,positive,3
149,-CclMIdTyOnA2vWrubC2Iw,Macy's,ME8Zl2Ec9-M35KeFLA1DxA,positive,3
150,-CclMIdTyOnA2vWrubC2Iw,Macy's,mgBc6KVF6dcwxojap5bc9w,negative,3
151,-CclMIdTyOnA2vWrubC2Iw,Macy's,MYIIKJb6EtMKDjXjVBnLEw,positive,2
152,-CclMIdTyOnA2vWrubC2Iw,Macy's,n55LzSW54IKomyyCgVDBdg,negative,3
153,-CclMIdTyOnA2vWrubC2Iw,Macy's,oaKlVdw_ixjKy6k00oMMOQ,negative,2
154,-CclMIdTyOnA2vWrubC2Iw,Macy's,OAogRTJEGJSWEzTnXHNAEQ,positive,1
155,-CclMIdTyOnA2vWrubC2Iw,Macy's,OBupwelkK4s6oUodQUFx7A,positive,1
156,-CclMIdTyOnA2vWrubC2Iw,Macy's,oddBMcQPVM0sVDgpckJCjA,positive,1
157,-CclMIdTyOnA2vWrubC2Iw,Macy's,OnzdfwRcxBzQ3pY-3e6sKw,positive,2
158,-CclMIdTyOnA2vWrubC2Iw,Macy's,otRNV9DCgmUNCL9R5PN_yw,positive,4
159,-CclMIdTyOnA2vWrubC2Iw,Macy's,OuuaSGa-OpuHe57i-bh7hw,negative,4
160,-CclMIdTyOnA2vWrubC2Iw,Macy's,Oz0iiAFal8cReE0ZL2tjLA,negative,1
161,-CclMIdTyOnA2vWrubC2Iw,Macy's,p0jy8m328b3eYqVPTnCxJw,positive,5
162,-CclMIdTyOnA2vWrubC2Iw,Macy's,P498ILMTO_m3AVNa96x4tg,negative,3
163,-CclMIdTyOnA2vWrubC2Iw,Macy's,pcv3zRCmyLL8qrnXtCsj7Q,negative,2
164,-CclMIdTyOnA2vWrubC2Iw,Macy's,Pk7ePg-lmmkG2fZhhyy1xw,negative,2
165,-CclMIdTyOnA2vWrubC2Iw,Macy's,q2HwJHHePbUPJtG-MwYRRg,positive,4
166,-CclMIdTyOnA2vWrubC2Iw,Macy's,q7BG1Q9ppDVEceldLFxEYg,negative,1
167,-CclMIdTyOnA2vWrubC2Iw,Macy's,qQfdiv9e7FiIMx84kAoOZA,positive,4
168,-CclMIdTyOnA2vWrubC2Iw,Macy's,qs9bdpmH2zHbRhKwQ2LSiQ,positive,5
169,-CclMIdTyOnA2vWrubC2Iw,Macy's,qSHmIUKf9Hgk3RwX4vTcqw,negative,1
170,-CclMIdTyOnA2vWrubC2Iw,Macy's,QWRZG5PRBXHSSKKeka0log,negative,3
171,-CclMIdTyOnA2vWrubC2Iw,Macy's,QZOeWWJkUGavoH4_qwi9mg,positive,3
172,-CclMIdTyOnA2vWrubC2Iw,Macy's,R12ALRpc4_JVVgOEIceG6g,negative,1
173,-CclMIdTyOnA2vWrubC2Iw,Macy's,rFddSCUCv8sJobLZkyP6nw,positive,4
174,-CclMIdTyOnA2vWrubC2Iw,Macy's,rwhfREevj7fnN8aSsuyESg,negative,2
175,-CclMIdTyOnA2vWrubC2Iw,Macy's,rZU7etMNynn76gGn7ImYxQ,positive,3
176,-CclMIdTyOnA2vWrubC2Iw,Macy's,Sd0pJRmkA4OD7Dq1DhrnHw,positive,2
177,-CclMIdTyOnA2vWrubC2Iw,Macy's,UomVIjBTSMgUk1m7yG6VSA,positive,1
178,-CclMIdTyOnA2vWrubC2Iw,Macy's,UURwpXzErBxM46spLzQ0gQ,positive,5
179,-CclMIdTyOnA2vWrubC2Iw,Macy's,UxYP1YFNzDm39T5-oE4VfA,negative,2
180,-CclMIdTyOnA2vWrubC2Iw,Macy's,viuK96sTNsZUMF1wjpFMtQ,positive,4
181,-CclMIdTyOnA2vWrubC2Iw,Macy's,VpUFbDhQqLw26EWOaGx1rg,positive,1
182,-CclMIdTyOnA2vWrubC2Iw,Macy's,w3xdTwYhhIqPhby5gTOHbA,negative,4
183,-CclMIdTyOnA2vWrubC2Iw,Macy's,WElVrIcuw3KeIH12fkUPhQ,positive,3
184,-CclMIdTyOnA2vWrubC2Iw,Macy's,wn1CgVHhi2s-tFoAeUf1oA,negative,1
185,-CclMIdTyOnA2vWrubC2Iw,Macy's,WoEr8T90QwkMCmKffILXfg,negative,3
186,-CclMIdTyOnA2vWrubC2Iw,Macy's,wt72342P1ZXIDiMlpHLQlg,positive,5
187,-CclMIdTyOnA2vWrubC2Iw,Macy's,wV9NtZJLmojuFxOPE4M78Q,positive,4
188,-CclMIdTyOnA2vWrubC2Iw,Macy's,Wvp2SVKrr2JFAT7KiGn1Bg,positive,4
189,-CclMIdTyOnA2vWrubC2Iw,Macy's,wXfMxquzDOUK6kKQ7H1ayQ,positive,2
190,-CclMIdTyOnA2vWrubC2Iw,Macy's,WxZ8X5vKcJ0r6RKZjlLmUg,negative,2
191,-CclMIdTyOnA2vWrubC2Iw,Macy's,xlWxcaobo5KJzfFzT9Jrwg,negative,3
192,-CclMIdTyOnA2vWrubC2Iw,Macy's,xMKxBSdxS5bNik-3mB16eQ,positive,4
193,-CclMIdTyOnA2vWrubC2Iw,Macy's,XoQAcUy2dvhLM46HGY8xlQ,negative,1
194,-CclMIdTyOnA2vWrubC2Iw,Macy's,XuPmlo1hr1gFiOYThsyTSg,negative,1
195,-CclMIdTyOnA2vWrubC2Iw,Macy's,Y2rvBJEDEa5JLqVA4BJrDw,positive,1
196,-CclMIdTyOnA2vWrubC2Iw,Macy's,YBL88E6QgCOHr0oa6AYj_w,positive,4
197,-CclMIdTyOnA2vWrubC2Iw,Macy's,YtBkTCyv2TQa4_9Sqra49A,negative,1
198,-CclMIdTyOnA2vWrubC2Iw,Macy's,Z9bgB1Ef9vZjodeXTKRqYA,negative,2
199,-CclMIdTyOnA2vWrubC2Iw,Macy's,ZJSwMkQFYnBoQX_4thzOLA,negative,2
200,-CclMIdTyOnA2vWrubC2Iw,Macy's,ZOBxWRTV6MCXfsHrmlzzZw,negative,1
201,-CclMIdTyOnA2vWrubC2Iw,Macy's,_5ZfChGgxMjejhANIF4n8w,positive,5
202,-CclMIdTyOnA2vWrubC2Iw,Macy's,_Oefh34woY5sJKO4NDbfoQ,positive,4
203,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,1T7ZpBrZ1nKxMqzaaV_85w,positive,3
204,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,3hZhWrURPgkeaTvpMbBpYA,positive,4
205,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,clIQeFRhcQoD6BS9k4X_JQ,positive,1
206,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,ErkuDvsPMz9p-velV86qeA,negative,5
207,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,kkStVjQtj7oAYTE9szjkbA,negative,1
208,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,WzCR22mKcOMh9olfrHcCAg,positive,4
209,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,xmZVKJHR_hkqtl4vv3f7xA,negative,4
210,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,xPSfTPmgvo6i-aTnh_rxcA,negative,4
211,-CehJGwsRwnYZ7e3vvX_Xg,Reflections of Health Integrative Care Center,xreBhcb6WL-ks3FwfGcqGg,negative,3
212,-DcI9z3WSJx09mzCuJPf_A,Golden Crown Jewelers,EgYIDP4bcwU9_djQxgbdsw,positive,5
213,-eXYVd25zif2AOVfzs4azg,Rainbow Cone At the Park Grill Cafe,V-JFb_5KFjfySt157ZhlmA,negative,5
214,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,7nizFqdDMF9Lr2zoSm5mCQ,negative,5
215,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,EcGaPzu46c2mQWhF6waJaA,negative,5
216,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,gfkziHxxUI0D9RyW9u5s3g,positive,5
217,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,JTKOD5pH6fbiERUCYUueVQ,positive,1
218,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,Ok8EZ5U_q0cJ908jHd7V5A,negative,3
219,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,ppcZ8takrZSnjWsYe1oR8Q,negative,5
220,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,PZm6GPsWa3CrRFh-fGprsQ,negative,1
221,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,SyQtOZh4LzEOioS0V-6bIA,negative,1
