,restaurantID,rating_y,average sentiments
324,8-_t8OMafccw4uzFq6ltfQ,1.0,negative
325,805Eet98d1iYxSUIpqnYbA,4.0,positive
326,80M6LKNBX8l34n-UeueZ8w,3.1666666666666665,negative
327,825fYVYc196vM4V3XQbXSA,5.0,negative
328,83ybpCKUqLTVjSbfpPq-dQ,5.0,negative
329,84uHsT47dc-nKnlsT3YAzA,5.0,positive
330,86ujmqHxC3u-jrXxg9ePwg,5.0,positive
331,87NieBdwm_Z2rQuChErmbQ,1.0,negative
332,87zNcTQbHJ43C5YOkYQeSw,5.0,positive
333,891gUiFELRryVB_j97cr4Q,5.0,negative
334,8BXbNpuPz_WR92_LE8V8kQ,4.4,positive
335,8C7chv8xmQklcl-7okaN8w,2.75,negative
336,8ENIpQXOYBrV7mAhP8rCYA,4.5,negative
337,8FHG3LVCCwCQuD95WSNrCw,3.0,positive
338,8HKsbnZ231AcgDKH6ZQKtg,3.5517241379310347,positive
339,8KYXbJHqrlpHIcB1JWkljg,4.0,positive
340,8Khhqj5KQrlUrH1_3jD_3w,5.0,negative
341,8Nprgtjrb56b69W10bs4MQ,3.0,negative
342,8Pgml94L3h-_SKq1quxdcw,2.0476190476190474,negative
343,8S-ZArRn-2ppHxQUZtq_0w,2.833333333333333,negative
344,8TDj7HZT-yEovugPgOFUYg,5.0,negative
345,8WAT1ttmwJRZG3KQuv7FKQ,1.4,negative
346,8aOXUV6gzjvoPoqYpvnKKw,3.0,positive
347,8abTVgcVxYL8jrDfqxXvAA,3.2222222222222223,positive
348,8cPOGkYpvg1-u1gBN85khg,3.8,positive
349,8cuL_nyzLAU4gQYHjomO_Q,3.5,positive
350,8dtiiOaVA9tCyd3nL6G5Dw,4.0,positive
351,8eOkjYj7qvswGQMQiUQw6w,4.5,positive
352,8eW79e-GQYMtSbWIUHMq-w,5.0,negative
353,8haIm79n-iHKyOevxfBejA,1.0,negative
354,8iUeKAAImz36gre89sCxkw,5.0,positive
355,8jQMdOnX8ACRbMwJbSoXAg,5.0,positive
356,8kSbc9R-X1syG90E1eu8JA,5.0,positive
357,8p2TNg1jXZ26jOTbYa8OjA,3.421052631578948,positive
358,8q7QJz5JHkdwwSNNCJ2wAg,5.0,positive
359,8qzvBdw36Yse48BJFXe7fg,3.0384615384615383,negative
360,8u3CpsSHQD3ek3rwLVi5eA,3.0,negative
361,8unbzoMwSb-Quu27qMOvfQ,1.0,positive
362,8vIm1ew3JMD_duXa9tP-Dg,2.0,negative
363,8x4UAc6VKtXoKi6ta3G_xA,5.0,positive
364,8xGzvcmrZ5EJBOKylpsslw,1.0,negative
365,8z4pkwkjYh1J6EQz1iULVA,3.3720930232558137,positive
366,90asHUAxcCffrGeQiase4Q,5.0,negative
367,92mM32eP2qYM8y2jRZCWOg,5.0,positive
368,9BjukqFI9B9zVZxXXHz4qA,4.0,positive
369,9BzX8uv427cJmyAnLxwIHA,4.0,negative
370,9GdFbohrbQqMCDWxVjtocg,2.25,negative
371,9Gsa_b43Qh-qDysVRo0rWQ,5.0,positive
372,9H3Udc6CHiPEwZlKfi0oQw,1.0,negative
373,9HT6DKLyW8oT02C1oa3iFQ,1.0,negative
374,9I-yCF4DJiGzt0NKvweREA,3.4838709677419355,positive
375,9IHXW2vB6KzGJFsKTLmdBg,4.0,positive
376,9LaA6_oGpgHCJWhlAkbnIw,3.493333333333333,negative
377,9MOI2_Pbjv2F3JlN7qWjZQ,5.0,negative
378,9ONbcN5_q9ZDm6NbWhPaTg,3.6666666666666665,negative
379,9VD-gk03Y8qVzHk-nD_okA,5.0,positive
380,9WKxCeM-I9S3alAqiluuOg,5.0,positive
381,9YbKIecs-KygRtRtDW7rBw,3.6666666666666665,positive
382,9YnVF13uevZvUO_kFCTKpQ,5.0,positive
383,9aNhmG7vomv0uIgbbnvHJg,4.333333333333333,positive
384,9eOL3a9QfKKyMmi0at73lQ,3.7142857142857135,negative
385,9htt8fKKKG07eBPszNMg4A,3.918367346938776,positive
386,9iUP4RolI-vmHLImZIvcGQ,3.0,negative
387,9mXXLyWZHB6GrXP02rjImw,4.045454545454546,positive
388,9oDWR41ZeUFAvOWCiEglCQ,1.5,negative
