County_name,State_name,Pop_5_17,Pop_18_24,Pop_25_44,Pop_45_64,Pop_65,state,county,tract,block group
Cook County,Illinois,65,123,413,496,189,17,031,040100,1
Cook County,Illinois,239,88,784,405,140,17,031,040100,2
Cook County,Illinois,218,115,226,306,122,17,031,040100,3
Cook County,Illinois,0,33,388,75,206,17,031,040201,1
Cook County,Illinois,180,208,447,418,218,17,031,040201,2
Cook County,Illinois,128,108,713,310,15,17,031,040201,3
Cook County,Illinois,172,91,1019,407,139,17,031,040201,4
Cook County,Illinois,82,84,193,188,83,17,031,040202,1
Cook County,Illinois,460,153,893,628,347,17,031,040202,2
Cook County,Illinois,160,123,493,599,130,17,031,040202,3
Cook County,Illinois,74,116,884,352,207,17,031,040202,4
Cook County,Illinois,46,37,342,245,208,17,031,040300,1
Cook County,Illinois,168,21,153,316,119,17,031,040300,2
Cook County,Illinois,33,35,266,277,96,17,031,040300,3
Cook County,Illinois,170,62,242,213,37,17,031,040401,1
Cook County,Illinois,31,20,268,136,15,17,031,040401,2
Cook County,Illinois,34,67,269,167,73,17,031,040401,3
Cook County,Illinois,119,10,368,263,164,17,031,040401,4
Cook County,Illinois,13,71,246,53,0,17,031,040402,1
Cook County,Illinois,42,0,532,67,0,17,031,040402,2
Cook County,Illinois,127,22,708,360,205,17,031,040402,3
Cook County,Illinois,13,0,254,85,212,17,031,040402,4
Cook County,Illinois,0,52,949,127,39,17,031,040402,5
Cook County,Illinois,92,35,250,224,72,17,031,040600,1
Cook County,Illinois,80,87,417,317,65,17,031,040600,2
Cook County,Illinois,35,62,409,133,48,17,031,040600,3
Cook County,Illinois,64,19,479,202,34,17,031,040700,1
Cook County,Illinois,10,34,490,210,32,17,031,040700,2
Cook County,Illinois,25,22,447,157,48,17,031,040700,3
Cook County,Illinois,18,71,278,210,76,17,031,040700,4
Cook County,Illinois,69,49,416,134,110,17,031,040800,1
Cook County,Illinois,149,10,406,209,125,17,031,040800,2
Cook County,Illinois,157,40,684,309,133,17,031,040900,1
Cook County,Illinois,27,57,394,180,88,17,031,040900,2
Cook County,Illinois,172,20,465,168,0,17,031,050100,1
Cook County,Illinois,99,51,930,297,115,17,031,050100,2
Cook County,Illinois,98,45,521,199,102,17,031,050200,1
Cook County,Illinois,154,187,1071,387,178,17,031,050200,2
Cook County,Illinois,152,130,620,412,419,17,031,050200,3
Cook County,Illinois,103,84,470,259,117,17,031,050300,1
Cook County,Illinois,84,17,301,123,70,17,031,050300,2
Cook County,Illinois,76,51,353,235,79,17,031,050300,3
Cook County,Illinois,157,40,471,166,34,17,031,050500,1
Cook County,Illinois,162,119,610,403,96,17,031,050500,2
Cook County,Illinois,60,0,243,187,76,17,031,050500,3
Cook County,Illinois,188,45,537,263,153,17,031,050500,4
Cook County,Illinois,122,49,279,261,108,17,031,050500,5
Cook County,Illinois,100,209,666,299,70,17,031,050600,1
Cook County,Illinois,51,29,745,101,101,17,031,050600,2
Cook County,Illinois,128,51,836,350,46,17,031,050700,1
Cook County,Illinois,121,25,742,222,95,17,031,050800,1
Cook County,Illinois,171,25,850,221,81,17,031,050900,1
Cook County,Illinois,107,31,973,229,53,17,031,051000,1
Cook County,Illinois,126,126,879,269,113,17,031,051100,1
Cook County,Illinois,57,34,413,117,10,17,031,051200,1
Cook County,Illinois,105,28,440,223,25,17,031,051200,2
Cook County,Illinois,183,66,643,179,60,17,031,051300,1
Cook County,Illinois,90,115,808,216,28,17,031,051300,2
Cook County,Illinois,98,156,701,205,162,17,031,051400,1
Cook County,Illinois,130,101,453,106,13,17,031,051400,2
Cook County,Illinois,14,115,250,214,13,17,031,060100,1
Cook County,Illinois,87,28,683,201,23,17,031,060100,2
Cook County,Illinois,134,62,305,147,67,17,031,060100,3
Cook County,Illinois,31,22,618,173,43,17,031,060200,1
Cook County,Illinois,57,25,544,204,58,17,031,060200,2
